,Country Name,Country Code,Indicator Name,Indicator Code,1960,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,ABW,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.87686157,0.0,98.79518127,95.77120972,95.04550171,95.51022339,0.0,94.69580841,87.98737335,97.23148346,0.0,0.0,0.0,0.0,99.60610962,0.0,0.0,0.0,0.0,0.0
1,Afghanistan,AFG,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,47.77894974,0.0,0.0,73.92552185,77.64868164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Angola,AGO,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.73057938,26.86384964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,ALB,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.16934204,0.0,0.0,0.0,0.0,93.43218994,0.0,0.0,91.23175049,0.0,0.0,95.35825348,93.36425781,94.38825226,95.44255829,97.88559723,99.14433289,99.83727264,99.14605713,96.38993073,89.05256653,93.68109131,0.0,0.0
4,Andorra,AND,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.3479538,0.0,0.0,70.14836884,0.0,0.0
5,Arab World,ARB,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,71.20467377,72.48963928,72.31221008,72.62728882,74.05181122,73.58157349,74.17611694,73.32685852,74.93009949,75.79688263,77.34702301,77.79144287,78.96659851,79.54804229999999,81.43003082,81.67182922,82.34587097,79.22846222,80.87674713,81.64251709,81.63588715,82.00038909999999,82.58125305,82.06582642,82.15621948,82.23977661,81.68547058,81.97631836,82.36985016,82.27403259,81.40035248,81.69257355,80.81878662,79.47045898,79.15831757,80.48583221,80.92542267,81.68699646,83.19483948,83.40036011,83.5620575,79.51493835,78.89067078,77.93447876,79.59661102,80.41316986,0.0,0.0
6,United Arab Emirates,ARE,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.14533997,89.32948303,0.0,0.0,0.0,94.75145721,88.26319122,79.7286377,88.90763092,86.24668884,89.79695129,94.65376282,95.40014648,94.88033295,75.11519623,86.73252106,95.40335083,95.92218781,78.61244965,80.22125244,92.34339142,96.27191162,89.03124237,94.31025696,94.58289337,0.0,94.79618835,95.54286957,98.85410309,96.68221283,0.0,0.0,0.0,84.34223938,0.0,93.17481232,0.0,0.0,0.0,0.0,0.0,0.0
7,Argentina,ARG,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,66.84445953,0.0,0.0,0.0,65.61910248,68.03074646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.11602783,92.61096954,90.39652252,89.04531097,79.28653717,92.84921265,85.67636871,93.10749054,94.38802338,96.06040955,92.92047882,93.81256866,93.13485718,95.10088348,94.17205811,96.19081879,95.55637359999999,97.90656281,0.0,0.0,0.0
8,Armenia,ARM,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.57044983,96.41294861,98.73712158,98.10341644,97.3562088,0.0,0.0,97.76265717,95.98838043,94.26676178,0.0,90.39833832,98.57524109,94.49571228,93.02718353,0.0,0.0
